"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Porsche Panamera GTS Berlina","","Gasolina","M1","2665","","","",""
"Porsche Panamera GTS Sport Turismo","","Gasolina","M1","2700","","","",""
"Porsche Panamera Turbo E-Hybrid, 4 plazas  Berlina, AWD","","Híbridos de gasolina","M1","2830","27.9","140.0","81.0","25.9"
"Porsche Panamera Turbo E-Hybrid, 4 plazas, Autonomía + Berlina, AWD","","Híbridos de gasolina","M1","2830","26.4","140.0","93.0","25.9"
"Porsche Panamera Turbo E-Hybrid, 5 plazas  Berlina, AWD","","Híbridos de gasolina","M1","2900","27.9","140.0","81.0","25.9"
"Porsche Panamera Turbo E-Hybrid, 5 plazas, Autonomía + Berlina, AWD","","Híbridos de gasolina","M1","2900","26.4","140.0","93.0","25.9"
"Porsche Panamera Turbo S Berlina","","Gasolina","M1","2665","","","",""
"Porsche Panamera Turbo S Executive","","Gasolina","M1","2635","","","",""
"Porsche Panamera Turbo S Sport Turismo","","Gasolina","M1","2690","","","",""
"Porsche Panamera, 4 plazas Berlina, RWD","","Gasolina","M1","2505","","","",""
"Porsche Panamera, 5 plazas Berlina, RWD","","Gasolina","M1","2505","","","",""
"Porsche Taycan 4 Cross Turismo (4 plazas)","","Eléctricos puros","M1","2885","16.6","320.0","676.0","79.2"
"Porsche Taycan 4 Cross Turismo (5 plazas)","","Eléctricos puros","M1","2885","16.6","320.0","676.0","79.2"
"Porsche Taycan 4S Cross Turismo (4 plazas)","","Eléctricos puros","M1","2885","16.6","380.0","676.0","79.2"
"Porsche Taycan 4S Cross Turismo (5 plazas)","","Eléctricos puros","M1","2885","16.6","380.0","676.0","79.2"
"Porsche Taycan 4S Sport Limousine (4 plazas)","","Eléctricos puros","M1","2880","16.6","340.0","588.0","79.2"
"Porsche Taycan 4S Sport Limousine (5 plazas)","","Eléctricos puros","M1","2880","16.6","340.0","588.0","79.2"
"Porsche Taycan 4S Sport Limousine (Altas Prestaciones) (4 plazas)","","Eléctricos puros","M1","2880","16.6","380.0","676.0","93.4"
"Porsche Taycan 4S Sport Limousine (Altas Prestaciones) (5 plazas)","","Eléctricos puros","M1","2880","16.6","380.0","676.0","93.4"
"Porsche Taycan 4S Sport Turismo (4 o 5 plazas)","","Eléctricos puros","M1","2875","16.6","340.0","588.0","79.2"
"Porsche Taycan 4S Sport Turismo (Altas Prestaciones) (4 o 5 plazas)","","Eléctricos puros","M1","2875","16.6","380.0","676.0","93.4"
"Porsche Taycan Sport Limousine (5 plazas)","","Eléctricos puros","M1","2795","15.3","300.0","632.0","79.2"
"Porsche Taycan Sport Limousine (Altas Prestaciones) (5 plazas)","","Eléctricos puros","M1","2795","15.7","320.0","726.0","93.4"
"Porsche Taycan Sport Turismo (4 plazas)","","Eléctricos puros","M1","2795","15.3","300.0","632.0","79.2"
"Porsche Taycan Sport Turismo (Altas Prestaciones) (4 plazas)","","Eléctricos puros","M1","2795","15.7","320.0","726.0","93.4"
"Porsche Taycan Turbo Cross Turismo (4 o 5 plazas)","","Eléctricos puros","M1","2880","16.6","520.0","671.0","93.4"
"Porsche Taycan Turbo GT Sport Limousine (2 plazas)","","Eléctricos puros","M1","2470","19.4","581.0","589.0","93.4"
"Porsche Taycan Turbo GT Sport Limousine (4 plazas)","","Eléctricos puros","M1","2710","19.4","581.0","589.0","93.4"
"Porsche Taycan Turbo S Cross Turismo (4 o 5 plazas)","","Eléctricos puros","M1","2880","16.7","570.0","665.0","93.4"
"Porsche Taycan Turbo S Sport Limousine (4 o 5 plazas)","","Eléctricos puros","M1","2870","16.7","570.0","665.0","93.4"
"Porsche Taycan Turbo S Sport Turismo (4 o 5 plazas)","","Eléctricos puros","M1","2870","16.7","570.0","665.0","93.4"
"Porsche Taycan Turbo Sport Limousine (4 o 5 plazas)","","Eléctricos puros","M1","2880","16.6","520.0","671.0","93.4"
"Porsche Taycan Turbo Sport Turismo (4 o 5 plazas)","","Eléctricos puros","M1","2880","16.6","520.0","671.0","93.4"
