"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Citroën JUMPER BlueHDi 120 S&S 6v Furgón 30L1H1","","Gasóleo","N1","3000","","","",""
"Citroën JUMPER BlueHDi 120 S&S 6v Furgón 33L2H1","","Gasóleo","N1","3300","","","",""
"Citroën JUMPER BlueHDi 120 S&S 6v Furgón 33L2H2","","Gasóleo","N1","3300","","","",""
"Citroën JUMPER BlueHDi 120 S&S 6v Furgón 35L2H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 120 S&S 6v Furgón 35L3H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Camión 35 L3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Camión Doble Cabina 35 Heavy L4 7 plazas","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Chasis Cabina 35 Heavy L2S","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Chasis Cabina 35 Heavy L3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Chasis Cabina 35 Heavy L4","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Chasis Cabina 35 L3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Chasis Cabina 35L2S","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Chasis Doble Cabina 35 Heavy L4 7 plazas","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 30L1H1","","Gasóleo","N1","3000","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 33L2H1","","Gasóleo","N1","3300","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 33L2H2","","Gasóleo","N1","3300","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 35 Heavy L3H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 35 Heavy L4H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 35 Heavy L4H3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 35L2H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 35L3H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón 35L3H3","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 140 S&S 6v Furgón DRIVER 35L3H2","","Gasóleo","N1","3500","","","",""
"Citroën JUMPER BlueHDi 165 S&S 6v Camión 35 L3","","Gasóleo","N1","3500","","","",""
