"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Volvo V90 Recharge, AWD, Inscription, Inscription Expression, R-Design T8 MY22","","Híbridos enchufables","M1","2620","14.5","65.0","61.0","6.0"
"Volvo XC40 (EF) Recharge Eléctrico Puro, Core, Plus, Ultimate, FWD, MY23","","Eléctricos puros","M1","2480","18.7","170.0","423.0","69.0"
"Volvo XC40 Core, Auto. T2 MY23","","Gasolina","M1","2120","","","",""
"Volvo XC40 Core, Man. T2 MY23","","Gasolina","M1","2080","","","",""
"Volvo XC40 Essential, Auto. T2 MY23","","Gasolina","M1","2120","","","",""
"Volvo XC40 Essential, Man. T2 MY23","","Gasolina","M1","2080","","","",""
"Volvo XC40 Gasolina, Core B3 MY23","","Híbridos de gasolina","M1","2220","","","",""
"Volvo XC40 Gasolina, Core B4, AWD, MY23","","Híbridos de gasolina","M1","2270","","","",""
"Volvo XC40 Gasolina, Core, Plus, Ultimate B3 MY24","","Híbridos de gasolina","M1","2220","","","",""
"Volvo XC40 Gasolina, Core, Plus, Ultimate B4 Aut. MY24","","Híbridos de gasolina","M1","2220","","","",""
"Volvo XC40 Gasolina, Essential, Core, Plus, Auto. T2 MY24","","Gasolina","M1","2120","","","",""
"Volvo XC40 Gasolina, Plus B3 MY23","","Híbridos de gasolina","M1","2220","","","",""
"Volvo XC40 Gasolina, Plus B4, AWD, MY23","","Híbridos de gasolina","M1","2270","","","",""
"Volvo XC40 Híbrido Enchufable, Core, Plus, Ultimate T4 MY24","","Híbridos enchufables","M1","2290","15.9","60.0","42.0","4.4"
"Volvo XC40 Híbrido Enchufable, Plus. Ultimate T5 MY24","","Híbridos enchufables","M1","2290","15.9","60.0","42.0","4.4"
"Volvo XC40 Momentum Core, Momentum Pro, Inscription, R-design, B3, MY22","","Híbridos de gasolina","M1","2120","","","",""
