"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Mercedes-Benz Clase V (03.2024) Clase V 220 d STYLE Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d AVANTGARDE Compacto","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d AVANTGARDE Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d AVANTGARDE Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d Compacto","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d EXCLUSIVE Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d EXCLUSIVE Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d STYLE Compacto","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d STYLE Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 250 d STYLE Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 300 d AVANTGARDE Compacto","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 300 d AVANTGARDE Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 300 d AVANTGARDE Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 300 d EXCLUSIVE Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 300 d EXCLUSIVE Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 300 d STYLE Compacto","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 300 d STYLE Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 300 d STYLE Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d Avantgarde Compacto 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d Avantgarde Compacto 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d Avantgarde Extralargo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d Avantgarde Extralargo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d Avantgarde Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d Avantgarde Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d Compacto 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d Compacto 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d Exclusive Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d Exclusive Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d Extralargo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d Extralargo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d RISE Compacto 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d RISE Compacto 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 220d RISE Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 220d RISE Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 250d Avantgarde Compacto 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 250d Avantgarde Compacto 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 250d Avantgarde Extralargo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 250d Avantgarde Extralargo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 250d Avantgarde Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 250d Avantgarde Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 250d Compacto 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 250d Compacto 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 250d Exclusive Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 250d Exclusive Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 250d Extralargo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 250d Extralargo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 250d Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 250d Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 300d Avantgarde Compacto 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 300d Avantgarde Compacto 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 300d Avantgarde Extralargo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 300d Avantgarde Extralargo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 300d Avantgarde Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 300d Avantgarde Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 300d Compacto 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 300d Compacto 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 300d Exclusive Largo 3100","","Gasóleo","M1","3100","","","",""
"Mercedes-Benz Clase V Clase V 300d Exclusive Largo 3200","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V Clase V 300d Extralargo 3100","","Gasóleo","M1","3100","","","",""
