"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"BMW 540d xDrive Berlina (Desde prod 07/2020) 51AH","","Gasóleo","M1","2525","","","",""
"BMW 540d xDrive Berlina (Desde prod 11/2019) 51AH","","Gasóleo","M1","2450","","","",""
"BMW 540d xDrive Touring (Desde prod 07/2020) 51AJ","","Gasóleo","M1","2565","","","",""
"BMW 540d xDrive Touring (Desde prod 11/2019) 51AJ","","Gasóleo","M1","2565","","","",""
"BMW 540i Berlina (Desde prod 07/2020) 51BJ","","Gasolina","M1","2395","","","",""
"BMW 540i Berlina (Desde prod 11/2019) 51BJ","","Gasolina","M1","2310","","","",""
"BMW 540i xDrive Berlina (Desde prod 07/2020) 71BJ","","Gasolina","M1","2455","","","",""
"BMW 540i xDrive Berlina (Desde prod 11/2019) 71BJ","","Gasolina","M1","2370","","","",""
"BMW 540i xDrive Touring (Desde prod 07/2020) 71BM","","Gasolina","M1","2495","","","",""
"BMW 540i xDrive Touring (Desde prod 11/2019) 71BM","","Gasolina","M1","2495","","","",""
"BMW 545e xDrive Berlina (Desde prod 01/2021) 31CH","","Híbridos enchufables","M1","2605","","80.0","50.0","90.0"
"BMW 550e xDrive Berlina (Desde prod 11/2023) 11FK","","Híbridos enchufables","M1","2805","22.9","145.0","89.0","19.0"
"BMW 620d Gran Turismo (Desde prod 07/2020) JY81","","Gasóleo","M1","2490","","","",""
"BMW 620d Gran Turismo (Desde prod 11/2019) JY81","","Gasóleo","M1","2440","","","",""
"BMW 620d xDrive Gran Turismo (Desde prod 07/2020) JY01","","Gasóleo","M1","2550","","","",""
"BMW 620d xDrive Gran Turismo (Desde prod 11/2019) JY01","","Gasóleo","M1","2500","","","",""
"BMW 630d Gran Turismo (Desde prod 07/2020) JY21","","Gasóleo","M1","2575","","","",""
"BMW 630d Gran Turismo (Desde prod 11/2019) JY21","","Gasóleo","M1","2510","","","",""
"BMW 630d xDrive Gran Turismo (Desde prod 07/2020) JY41","","Gasóleo","M1","2640","","","",""
"BMW 630d xDrive Gran Turismo (Desde prod 11/2019) JY41","","Gasóleo","M1","2580","","","",""
"BMW 630i Gran Turismo (Desde prod 07/2020) 21BP","","Gasolina","M1","2450","","","",""
"BMW 630i Gran Turismo (Desde prod 11/2019) 21BP","","Gasolina","M1","2380","","","",""
"BMW 640d xDrive Gran Turismo (Desde prod 07/2020) JY61","","Gasóleo","M1","2685","","","",""
"BMW 640d xDrive Gran Turismo (Desde prod 11/2019) JY61","","Gasóleo","M1","2615","","","",""
"BMW 640i Gran Turismo (Desde prod 01/2021) 41BP","","Gasolina","M1","2510","","8.0","",""
"BMW 640i Gran Turismo (Desde prod 07/2020) 41BP","","Gasolina","M1","2510","","","",""
"BMW 640i Gran Turismo (Desde prod 11/2019) 41BP","","Gasolina","M1","2460","","","",""
"BMW 640i xDrive Gran Turismo (Desde prod 07/2020) 61BP","","Gasolina","M1","2575","","","",""
"BMW 640i xDrive Gran Turismo (Desde prod 11/2019) 61BP","","Gasolina","M1","2515","","","",""
"BMW 730d (Desde prod 01/2021) 7A61","","Gasóleo","M1","2560","","8.0","",""
"BMW 730d (Desde prod 07/2020) 7A61","","Gasóleo","M1","2560","","","",""
"BMW 730d (Desde prod 11/2019) 7A61","","Gasóleo","M1","2510","","","",""
"BMW 730d xDrive (Desde prod 01/2021) 7B81","","Gasóleo","M1","2600","","8.0","",""
"BMW 730d xDrive (Desde prod 07/2020) 7B81","","Gasóleo","M1","2600","","","",""
"BMW 730d xDrive (Desde prod 11/2019) 7B81","","Gasóleo","M1","2560","","","",""
"BMW 730Ld (Desde prod 01/2021) 7H81","","Gasóleo","M1","2585","","8.0","",""
"BMW 730Ld (Desde prod 07/2020) 7H81","","Gasóleo","M1","2585","","","",""
"BMW 730Ld (Desde prod 11/2019) 7H81","","Gasóleo","M1","2560","","","",""
"BMW 730Ld xDrive (Desde prod 01/2021) 7J41","","Gasóleo","M1","2670","","8.0","",""
"BMW 730Ld xDrive (Desde prod 07/2020) 7J41","","Gasóleo","M1","2670","","","",""
"BMW 730Ld xDrive (Desde prod 11/2019) 7H81","","Gasóleo","M1","2625","","","",""
"BMW 740d xDrive (Desde prod 01/2021) 7D21","","Gasóleo","M1","2640","","8.0","",""
"BMW 740d xDrive (Desde prod 07/2020) 7D21","","Gasóleo","M1","2640","","","",""
"BMW 740d xDrive (desde prod 07/2022) 21EJ","","Gasóleo","M1","2895","","","",""
"BMW 740d xDrive (Desde prod 11/2019) 7D21","","Gasóleo","M1","2605","","","",""
"BMW 740i (Desde prod 11/2019) 7R21","","Gasolina","M1","2445","","","",""
"BMW 740i Berlina (Desde prod 01/2021) 7R21","","Gasolina","M1","2435","","","",""
"BMW 740Ld xDrive (Desde prod 01/2021) 7U81","","Gasóleo","M1","2670","","8.0","",""
"BMW 740Ld xDrive (Desde prod 07/2020) 7U81","","Gasóleo","M1","2670","","","",""
"BMW 740Ld xDrive (Desde prod 11/2019) 7U81","","Gasóleo","M1","2645","","","",""
"BMW 740Li xDrive (Desde prod 07/2020) 7T41","","Gasolina","M1","2545","","","",""
"BMW 740Li xDrive (Desde prod 11/2019) 7T41","","Gasolina","M1","2555","","","",""
"BMW 740Li xDrive Berlina (Desde prod 01/2021) 7T41","","Gasolina","M1","2545","","","",""
"BMW 745e (Desde prod 11/2019) 7D61","","Híbridos enchufables","M1","2655","15.1","83.0","",""
"BMW 745e iPerformance (Desde prod 01/2021) 7D61","","Híbridos enchufables","M1","2635","","83.0","54.0","90.0"
"BMW 745Le xDrive (Desde prod 11/2019) 7W41","","Híbridos enchufables","M1","2705","15.8","83.0","",""
"BMW 745Le xDrive iPerformance (Desde prod 01/2021) 7W41","","Híbridos enchufables","M1","2705","","83.0","48.0","90.0"
"BMW 750d xDrive (Desde prod 11/2019) 7S81","","Gasóleo","M1","2640","","","",""
"BMW 750e xDrive (Desde prod 07/2023) 41EH","","Híbridos enchufables","M1","3130","24.4","145.0","82.0","17.6"
"BMW 750e xDrive (Desde prod 11/2023) 41EH","","Híbridos enchufables","M1","3130","24.4","145.0","80.0","17.6"
"BMW 750i xDrive (Desde prod 01/2021) 7R81","","Gasolina","M1","2630","","","",""
"BMW 750i xDrive (Desde prod 11/2019) 7R81","","Gasolina","M1","2640","","","",""
"BMW 750Ld xDrive (Desde prod 11/2019) 7V81","","Gasóleo","M1","2690","","","",""
"BMW 750Li xDrive (Desde prod 01/2021) 7U21","","Gasolina","M1","2675","","","",""
"BMW 750Li xDrive (Desde prod 11/2019) 7U21","","Gasolina","M1","2675","","","",""
"BMW 840d xDrive Cabrio (Desde prod 01/2021) FY61","","Gasóleo","M1","2500","","8.0","",""
"BMW 840d xDrive Cabrio (Desde prod 03/2024) FY61","","Gasóleo","M1","2500","","","",""
"BMW 840d xDrive Cabrio (Desde prod 11/2019) FY61","","Gasóleo","M1","2485","","","",""
"BMW 840d xDrive Coupe (Desde prod 01/2021) BC61","","Gasóleo","M1","2410","","8.0","",""
"BMW 840d xDrive Coupe (Desde prod 03/2024) BC61","","Gasóleo","M1","2410","","","",""
"BMW 840d xDrive Coupé (Desde prod 07/2020) BC21","","Gasóleo","M1","2370","","","",""
"BMW 840d xDrive Coupé (Desde prod 11/2019) BC21","","Gasóleo","M1","2370","","","",""
"BMW 840d xDrive Gran Coupe (Desde prod 01/2022) GW01","","Gasóleo","M1","2600","","","",""
"BMW 840d xDrive Gran Coupe (Desde prod 03/2024) GW01","","Gasóleo","M1","2600","","","",""
"BMW 840d xDrive Gran Coupé (Desde prod 11/2019) GW01","","Gasóleo","M1","2560","","","",""
"BMW 840i Cabrio (Desde prod 01/2021) DZ21","","Gasolina","M1","2340","","","",""
"BMW 840i Cabrio (Desde prod 01/2022) DZ21","","Gasolina","M1","2340","","","",""
"BMW 840i Cabrio (Desde prod 11/2019) DZ21","","Gasolina","M1","2340","","","",""
"BMW 840i Coupé (Desde prod 01/2021) AE21","","Gasolina","M1","2225","","","",""
"BMW 840i Coupé (Desde prod 01/2022) AE21","","Gasolina","M1","2225","","","",""
"BMW 840i Coupé (Desde prod 11/2019) AE21","","Gasolina","M1","2225","","","",""
"BMW 840i Gran Coupé (Desde prod 01/2021) GV21","","Gasolina","M1","2435","","","",""
"BMW 840i Gran Coupe (Desde prod 01/2022) GV21","","Gasolina","M1","2435","","","",""
"BMW 840i Gran Coupé (Desde prod 11/2019) GV21","","Gasolina","M1","2435","","","",""
"BMW 840i xDrive Cabrio (Desde prod 01/2021) DZ41","","Gasolina","M1","2400","","","",""
"BMW 840i xDrive Cabrio (Desde prod 11/2019) DZ41","","Gasolina","M1","2400","","","",""
"BMW 840i xDrive Coupé (Desde prod 01/2021) AE41","","Gasolina","M1","2280","","","",""
"BMW 840i xDrive Coupé (Desde prod 11/2019) AE41","","Gasolina","M1","2280","","","",""
"BMW 840i xDrive Gran Coupé (Desde prod 01/2021) GV41","","Gasolina","M1","2480","","","",""
"BMW BMW 750e xDrive (Desde 07/2022) 41EH","","Híbridos enchufables","M1","2380","22.8","145.0","87.0","18.7"
"BMW BMW i7 xDrive60 (desde prod 07/2022) 51EJ","","Eléctricos puros","M1","2640","18.4","400.0","625.0","101.7"
"BMW i3 (120 Ah) (Desde prod 11/2019) 7Z21","","Eléctricos puros","M1","1710","13.1","125.0","308.0","120.0"
