"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 81 kW (110 CV) Manual (MTMA 1620)","","Gasolina","M1","1620","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 81 kW (110 CV) Manual (MTMA 1650)","","Gasolina","M1","1650","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 81 kW (110 CV) Manual (MTMA 1690)","","Gasolina","M1","1690","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.5 TSI 110 kW (150 CV) DSG (MTMA 1670)","","Gasolina","M1","1670","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.5 TSI 110 kW (150 CV) DSG (MTMA 1700)","","Gasolina","M1","1700","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.5 TSI 110 kW (150 CV) DSG (MTMA 1730)","","Gasolina","M1","1730","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.5 TSI 110 kW (150 CV) Manual (MTMA 1650)","","Gasolina","M1","1650","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.5 TSI 110 kW (150 CV) Manual (MTMA 1680)","","Gasolina","M1","1680","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.5 TSI 110 kW (150 CV) Manual (MTMA 1717)","","Gasolina","M1","1717","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.0 TSI 81 kW (110 CV) DSG (MTMA 1640)","","Gasolina","M1","1640","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.0 TSI 81 kW (110 CV) DSG (MTMA 1670)","","Gasolina","M1","1670","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.0 TSI 81 kW (110 CV) DSG (MTMA 1709)","","Gasolina","M1","1709","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.5 TSI 110 kW (150 CV) DSG (MTMA 1670)","","Gasolina","M1","1670","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.5 TSI 110 kW (150 CV) DSG (MTMA 1700)","","Gasolina","M1","1700","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.5 TSI 110 kW (150 CV) DSG (MTMA 1730)","","Gasolina","M1","1730","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.5 TSI 110 kW (150 CV) Manual (MTMA 1650)","","Gasolina","M1","1650","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.5 TSI 110 kW (150 CV) Manual (MTMA 1680)","","Gasolina","M1","1680","","","",""
"SKODA SCALA Enero MY23 MONTE CARLO 1.5 TSI 110 kW (150 CV) Manual (MTMA 1717)","","Gasolina","M1","1717","","","",""
"SKODA SCALA Enero MY23 SPORT 1.0 TSI 81 kW (110 CV) DSG","","Gasolina","M1","1709","","","",""
"SKODA SCALA Enero MY23 SPORT 1.0 TSI 81 kW (110 CV) Manual","","Gasolina","M1","1690","","","",""
"SKODA SCALA Enero MY23 SPORT 1.5 TSI 110 kW (150 CV) DSG (MTMA 1730)","","Gasolina","M1","1730","","","",""
"SKODA SCALA Enero MY23 SPORT 1.5 TSI 110 kW (150 CV) Manual (MTMA 1717)","","Gasolina","M1","1717","","","",""
"SKODA SCALA Enero MY23 STYLE 1.0 TSI 81 kW (110 CV) DSG (MTMA 1640)","","Gasolina","M1","1640","","","",""
"SKODA SCALA Enero MY23 STYLE 1.0 TSI 81 kW (110 CV) DSG (MTMA 1670)","","Gasolina","M1","1670","","","",""
"SKODA SCALA Enero MY23 STYLE 1.0 TSI 81 kW (110 CV) DSG (MTMA 1709)","","Gasolina","M1","1709","","","",""
"SKODA SCALA Enero MY23 STYLE 1.0 TSI 81 kW (110 CV) Manual (MTMA 1630)","","Gasolina","M1","1630","","","",""
"SKODA SCALA Enero MY23 STYLE 1.0 TSI 81 kW (110 CV) Manual (MTMA 1660)","","Gasolina","M1","1660","","","",""
"SKODA SCALA Enero MY23 STYLE 1.0 TSI 81 kW (110 CV) Manual (MTMA 1702)","","Gasolina","M1","1702","","","",""
"SKODA SCALA Enero MY23 STYLE 1.5 TSI 110 kW (150 CV) DSG (MTMA 1660)","","Gasolina","M1","1660","","","",""
"SKODA SCALA Enero MY23 STYLE 1.5 TSI 110 kW (150 CV) DSG (MTMA 1690)","","Gasolina","M1","1690","","","",""
"SKODA SCALA Enero MY23 STYLE 1.5 TSI 110 kW (150 CV) DSG (MTMA 1730)","","Gasolina","M1","1730","","","",""
"SKODA SCALA Enero MY23 STYLE 1.5 TSI 110 kW (150 CV) Manual (MTMA 1660)","","Gasolina","M1","1660","","","",""
