"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Kia CEED 5p 1.0 MHEV 120CV Drive DCT Eco-Dynamics","","Híbridos de gasolina","M1","1850","","","",""
"Kia CEED 5p 1.0 MHEV 120CV Drive DCT Eco-Dynamics+","","Híbridos de gasolina","M1","1850","","12.2","",""
"Kia CEED 5p 1.0 MHEV 120CV GT Line DCT Eco-Dynamics+","","Híbridos de gasolina","M1","1850","","12.2","",""
"Kia CEED 5p 1.0 MHEV 120CV Tech DCT Eco-Dynamics","","Híbridos de gasolina","M1","1850","","","",""
"Kia CEED 5p 1.0 MHEV 120CV Tech DCT Eco-Dynamics+","","Híbridos de gasolina","M1","1850","","12.2","",""
"Kia CEED 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics","","Híbridos de gasolina","M1","1890","","","",""
"Kia CEED 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics (Pack Premium)","","Híbridos de gasolina","M1","1890","","","",""
"Kia CEED 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics+","","Híbridos de gasolina","M1","1860","","12.2","",""
"Kia CEED 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics+ (Pack Premium)","","Híbridos de gasolina","M1","1860","","12.2","",""
"Kia CEED 5p 1.5 MHEV 160CV Tech DCT Eco-Dynamics","","Híbridos de gasolina","M1","1890","","","",""
"Kia CEED 5p 1.5 MHEV 160CV Tech DCT Eco-Dynamics+","","Híbridos de gasolina","M1","1860","","12.2","",""
"Kia CEED 5p 1.6 204CV GT","","Gasolina","M1","1870","","","",""
"Kia CEED 5p 1.6 CRDI MHEV 136CV Business Eco-Dynamics+","","Híbridos de gasóleo","M1","1890","","10.8","",""
"Kia CEED 5p 1.6 CRDI MHEV 136CV Concept Eco-Dynamics+","","Híbridos de gasóleo","M1","1890","","10.8","",""
"Kia CEED 5p 1.6 CRDI MHEV 136CV DCT GT-Line Eco-Dynamics+","","Híbridos de gasóleo","M1","1920","","10.8","",""
"Kia CEED 5p 1.6 CRDI MHEV 136CV DCT Tech Eco-Dynamics+","","Híbridos de gasóleo","M1","1920","","10.8","",""
"Kia CEED 5p 1.6 CRDI MHEV 136CV Drive Eco-Dynamics+","","Híbridos de gasóleo","M1","1890","","10.8","",""
"Kia CEED 5p 1.6 CRDI MHEV 136CV GT-Line Eco-Dynamics+","","Híbridos de gasóleo","M1","1890","","10.8","",""
"Kia CEED 5p 1.6 CRDI MHEV 136CV Tech Eco-Dynamics+","","Híbridos de gasóleo","M1","1890","","10.8","",""
"Kia CEED 5p 1.6 MHEV 136CV GT Line DCT Eco-Dynamics","","Híbridos de gasóleo","M1","1920","","","",""
"Kia CEED 5p 1.6 MHEV 136CV GT Line DCT Eco-Dynamics (Pack Premium)","","Híbridos de gasóleo","M1","1920","","","",""
"Kia CEED 5p 1.6 MHEV 136CV iMT GT Line Eco-Dynamics","","Híbridos de gasóleo","M1","1890","","","",""
"Kia CEED 5p 1.6 MHEV 136CV iMT GT Line Eco-Dynamics (Pack Premium)","","Híbridos de gasóleo","M1","1890","","","",""
"Kia CEED TOURER (MY22) 1.0 MHEV Drive DCT 120 cv","","Híbridos de gasolina","M1","1890","","","",""
"Kia CEED TOURER (MY22) 1.0 MHEV Tech DCT 120 cv","","Híbridos de gasolina","M1","1890","","","",""
"Kia CEED TOURER (MY22) 1.0 T-GDI Concept 120 cv","","Gasolina","M1","1840","","","",""
"Kia CEED TOURER (MY22) 1.0 T-GDI Drive 120 cv","","Gasolina","M1","1840","","","",""
"Kia CEED TOURER (MY22) 1.0 T-GDI Tech 120 cv","","Gasolina","M1","1840","","","",""
"Kia CEED TOURER (MY22) 1.5 MHEV GT-LINE DCT","","Híbridos de gasolina","M1","1900","","","",""
"Kia CEED TOURER (MY22) 1.5 MHEV GT-LINE DCT (Pack Premium)","","Híbridos de gasolina","M1","1900","","","",""
"Kia CEED TOURER (MY22) 1.5 MHEV Tech DCT","","Híbridos de gasolina","M1","1900","","","",""
"Kia CEED TOURER (MY22) 1.6 MHEV GT-LINE DCT 136 cv","","Híbridos de gasóleo","M1","1960","","","",""
"Kia CEED TOURER (MY22) 1.6 MHEV GT-LINE DCT 136 cv (Pack Premium)","","Híbridos de gasóleo","M1","1960","","","",""
"Kia CEED TOURER (MY22) 1.6 MHEV IMT Concept 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY22) 1.6 MHEV IMT Drive 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY22) 1.6 MHEV IMT GT-LINE 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY22) 1.6 MHEV IMT GT-LINE 136 cv (Pack Premium)","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY22) 1.6 MHEV IMT Tech 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY22) 1.6 MHEV Tech DCT 136 cv","","Híbridos de gasóleo","M1","1960","","","",""
"Kia CEED TOURER (MY23) 1.0 MHEV Drive DCT 120 cv","","Híbridos de gasolina","M1","1890","","","",""
"Kia CEED TOURER (MY23) 1.0 MHEV Stile Edition DCT 120 cv","","Híbridos de gasolina","M1","1890","","","",""
"Kia CEED TOURER (MY23) 1.0 MHEV Tech DCT 120 cv","","Híbridos de gasolina","M1","1890","","","",""
"Kia CEED TOURER (MY23) 1.0 T-GDI Concept 120 cv","","Gasolina","M1","1840","","","",""
"Kia CEED TOURER (MY23) 1.0 T-GDI Drive 120 cv","","Gasolina","M1","1840","","","",""
"Kia CEED TOURER (MY23) 1.0 T-GDI Style Edition 120 cv","","Gasolina","M1","1840","","","",""
"Kia CEED TOURER (MY23) 1.0 T-GDI Tech 120 cv","","Gasolina","M1","1840","","","",""
"Kia CEED TOURER (MY23) 1.5 MHEV GT-LINE DCT","","Híbridos de gasolina","M1","1900","","","",""
"Kia CEED TOURER (MY23) 1.5 MHEV GT-LINE DCT (Pack Premium)","","Híbridos de gasolina","M1","1900","","","",""
"Kia CEED TOURER (MY23) 1.5 MHEV Stile Edition DCT","","Híbridos de gasolina","M1","1900","","","",""
"Kia CEED TOURER (MY23) 1.5 MHEV Tech DCT","","Híbridos de gasolina","M1","1900","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV GT-LINE DCT 136 cv","","Híbridos de gasóleo","M1","1960","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV GT-LINE DCT 136 cv (Pack Premium)","","Híbridos de gasóleo","M1","1960","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV IMT Concept 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV IMT Drive 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV IMT GT-LINE 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV IMT GT-LINE 136 cv (Pack Premium)","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV IMT Stile Edition 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV IMT Tech 136 cv","","Híbridos de gasóleo","M1","1930","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV Tech DCT 136 cv","","Híbridos de gasóleo","M1","1960","","","",""
"Kia CEED TOURER (MY23) 1.6 MHEV Tech Stile Edition 136 cv","","Híbridos de gasóleo","M1","1960","","","",""
"Kia CEED TOURER 1.0 MHEV 120CV Drive DCT Eco-Dynamics","","Híbridos de gasolina","M1","1890","","","",""
