"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Toyota COROLLA 1.8 Sedán Business plus/Active tech Llanta 16p (MY21)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Sedán Eco Llanta 16p (MY21)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Sedán Llanta 16p (NG19)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Sedán Llanta 17p (NG19)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Sedán Llanta 18p (NG19)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Sedán Style Llanta 17p (MY21)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Touring sport Active tech/Active plus/Style/Advance (MY23)","","Híbridos de gasolina","M1","1885","","","",""
"Toyota COROLLA 1.8 Touring Sport Business/Active Plus/Style (MY24)","","Híbridos de gasolina","M1","1885","","","",""
"Toyota COROLLA 1.8 Touring Sport Business/Business plus/Style/Style plus/Active tech (MY22)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Touring Sport Style Edition (MY24)","","Híbridos de gasolina","M1","1885","","","",""
"Toyota COROLLA 1.8 Touring sport Style plus/GR Sport (MY23)","","Híbridos de gasolina","M1","1885","","","",""
"Toyota COROLLA 1.8 Touring Sports Business plus/Active tech/Style (MY21)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Touring Sports Llanta 15p y 16p (NG19)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Touring Sports Llanta 17p (NG19)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 2.0 Hatchback GR Sport (MY23)","","Híbridos de gasolina","M1","1910","","","",""
"Toyota COROLLA 2.0 Hatchback GR Sport (MY24)","","Híbridos de gasolina","M1","1910","","","",""
"Toyota COROLLA 2.0 Hatchback GR-Sport (MY21)","","Híbridos de gasolina","M1","1910","","","",""
"Toyota COROLLA 2.0 Hatchback GR-Sport/GR-Sport plus (MY22)","","Híbridos de gasolina","M1","1910","","","",""
"Toyota COROLLA 2.0 Hatchback Llanta 18p (NG19)","","Híbridos de gasolina","M1","1910","","","",""
"Toyota COROLLA 2.0 Hatchback Style/Advance (MY21)","","Híbridos de gasolina","M1","1910","","","",""
"Toyota COROLLA 2.0 Hatchback Style/Advance/Advance luxury (MY22)","","Híbridos de gasolina","M1","1910","","","",""
"Toyota COROLLA 2.0 Touring Sport Advance luxury/GR-Sport/GR-Sport plus/Style/Style plus (MY22)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA 2.0 Touring Sport Style Edition (MY24)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA 2.0 Touring sport Style plus/GR Sport (MY23)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA 2.0 Touring sport Style/Advance (MY23)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA 2.0 Touring Sport Style/GR Sport (MY24)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA 2.0 Touring Sport Trek (MY22)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA 2.0 Touring Sports Active tech Llanta 16p (MY20)","","Híbridos de gasolina","M1","1955","","80.0","","1.4"
"Toyota COROLLA 2.0 Touring Sports Llanta 18p (NG19)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA 2.0 Touring Sports Style/GR-Sport/Advance (MY21)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA 2.0 Touring Sports Trek+ sme (MY21)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota COROLLA CROSS Style","","Híbridos de gasolina","M1","1940","","","",""
"Toyota COROLLA CROSS Style (MY24)","","Híbridos de gasolina","M1","1940","","","",""
"Toyota COROLLA CROSS Style plus","","Híbridos de gasolina","M1","1970","","","",""
