"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Hyundai KONA EV 204CV 65kWh NLINESTYLE 2C","","Eléctricos puros","M1","2220","16.5","150.0","451.0","65.0"
"Hyundai KONA EV 204CV 65kWh TECNO 2C","","Eléctricos puros","M1","2220","14.9","150.0","503.0","65.0"
"Hyundai KONA EV FL 100KW MAXX","","Eléctricos puros","M1","2020","14.3","100.0","305.0","39.0"
"Hyundai KONA EV FL 100KW TECNO 2C","","Eléctricos puros","M1","2020","14.3","100.0","305.0","39.0"
"Hyundai KONA EV FL 150KW MAXX","","Eléctricos puros","M1","2170","14.7","150.0","484.0","64.0"
"Hyundai KONA EV FL 150KW STYLE SKY","","Eléctricos puros","M1","2170","14.7","150.0","484.0","64.0"
"Hyundai KONA EV FL 150KW TECNO 2C","","Eléctricos puros","M1","2170","14.7","150.0","484.0","64.0"
"Hyundai KONA FL CRDI 1.6 136CV 48V 4X2 MAXX","","Híbridos de gasóleo","M1","1875","","12.2","",""
"Hyundai KONA FL CRDI 1.6 136CV 48V 4X2 TECNO","","Híbridos de gasóleo","M1","1875","","12.2","",""
"Hyundai KONA FL CRDI 1.6 136CV 48V 4X4 DT TECNO","","Híbridos de gasóleo","M1","1965","","12.2","",""
"Hyundai KONA FL CRDI 1.6 136CV 48V 4X4 DT TRAIN","","Híbridos de gasóleo","M1","1965","","12.2","",""
"Hyundai KONA FL TGDI 1.0 120CV 48V 4X2 KLASS","","Híbridos de gasolina","M1","1795","","12.2","",""
"Hyundai KONA FL TGDI 1.0 120CV 48V 4X2 MAXX","","Híbridos de gasolina","M1","1795","","12.2","",""
"Hyundai KONA FL TGDI 1.0 120CV 48V 4X2 N LINE","","Híbridos de gasolina","M1","1795","","12.2","",""
"Hyundai KONA FL TGDI 1.0 120CV 48V 4X2 STYLE","","Híbridos de gasolina","M1","1795","","12.0","",""
"Hyundai KONA FL TGDI 1.0 120CV 48V 4X2 TECNO","","Híbridos de gasolina","M1","1795","","12.2","",""
"Hyundai KONA FL TGDI 1.0 120CV 4X2 DT MAXX","","Gasolina","M1","1716","","","",""
